Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,RO Karnataka,,,,,,,10615.0,161.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,RO Karnataka,,,,,,,6980.0,118.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,RO MAH,,,,,,,12784.0,112.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,RO MAH,,,,,,,8591.0,79.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,RO MAH,,,,,,,7436.0,76.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,RO TN,,,,,,,13489.0,62.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,RO TN,,,,,,,10656.0,89.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,RO TN,,,,,,,6453.0,105.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Thrissur,,,,,,,9213.0,42.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Thrissur,,,,,,,2213.0,39.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Thrissur,,,,,,,10651.0,197.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Tiruvanthapuram,,,,,,,12637.0,90.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Tiruvanthapuram,,,,,,,3513.0,27.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Tiruvanthapuram,,,,,,,3832.0,47.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,WB,,,,,,,4115.0,63.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,WB,,,,,,,6545.0,125.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,WB,,,,,,,7764.0,149.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_336X280,Ahmedbad,,,,,,,2491.0,37.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Ahmedbad,,,,,,,12730.0,111.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_300X250,Ahmedbad,,,,,,,12996.0,107.0,nan,nan,nan,nan,nan,nan,nan,nan
2022-12-27,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Amazon_Apay_320X480,Bangalore,,,,,,,3986.0,73.0,nan,nan,nan,nan,nan,nan,nan,nan
