Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Apparel,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",431149,4447,,,,,,,,,,,,,,,
2023-12-09,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_RO17_Bag,"RO T17 (Pune, Jaipur, Ahmedabad, Lucknow, Patna, Coimbatore, Kochi, Surat, Krishna, Vizag, Guntur)",427468,4374,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Footwear,Delhi NCR,209198,1958,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Bags,Delhi NCR,207164,1939,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Luxbeauty,Delhi NCR,207666,1985,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Watches,Delhi NCR,208117,1921,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Apparel,Delhi NCR,208453,1981,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Jewellery,Delhi NCR,208855,2007,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Hand Bags,Delhi NCR,205919,1927,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Mens Apparel,Delhi NCR,207630,1987,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Travel luaggage,Delhi NCR,206976,2025,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hydrabad_Footwear,Hyderabad,165383,1525,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Watches,Hyderabad,163121,1561,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Jewellery,Hyderabad,162846,1517,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderbad_Mens Apparel,Hyderabad,164208,1541,,,,,,,,,,,,,,,
2023-12-10,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Hand Bags,Hyderabad,161057,1503,,,,,,,,,,,,,,,
